,player,rating,kills,ok,kost,kpr,srv,1vx,plant,hs,atk,def
3,KAMIKAZE,1.26,15-11 (+4),2-0 (+2),77%,0.68,50%,1,5,53%,Thermite,Smoke
4,JULIO,1.11,16-10 (+6),0-1 (-1),64%,0.73,55%,1,0,33%,Maverick,Clash
5,ACHIEVED,0.68,9-20 (-11),1-1 (+0),59%,0.41,9%,0,0,44%,Buck,Mozzie
6,BEAULO,1.4,27-18 (+9),5-2 (+3),68%,1.23,18%,1,0,69%,IQ,Vigil
7,PINO,1.46,28-16 (+12),7-4 (+3),73%,1.27,27%,0,0,44%,Buck,Valkyrie
8,MERC,0.63,9-19 (-10),3-7 (-4),45%,0.41,14%,1,0,88%,Zofia,Jager
9,MUZI,0.95,14-14 (+0),2-2 (+0),68%,0.64,36%,0,0,29%,Zofia,Jager
0,CANADIAN,0.84,18-26 (-8),1-4 (-3),63%,0.44,37%,1,4,24%,Thermite,Pulse
1,BOSCO,0.84,24-31 (-7),4-2 (+2),59%,0.59,24%,0,0,54%,Hibana,Smoke
2,THINKINGNADE,0.85,22-29 (-7),5-3 (+2),56%,0.54,29%,1,0,40%,Thatcher,Mute
3,PSYCHO,0.98,29-31 (-2),4-5 (-1),71%,0.71,24%,0,0,69%,Buck,Goyo
4,KAMIKAZE,0.96,22-27 (-5),3-3 (+0),73%,0.54,34%,1,2,33%,Thermite,Smoke
5,JULIO,1.08,27-18 (+9),1-1 (+0),71%,0.66,56%,0,0,46%,Dokkaebi,Castle
6,RAMPY,1.04,28-28 (+0),7-7 (+0),68%,0.68,32%,1,0,45%,Buck,Jager
7,PINO,1.11,32-26 (+6),7-5 (+2),71%,0.78,37%,0,1,48%,Buck,Kaid
8,FULTZ,1.11,38-31 (+7),5-3 (+2),66%,0.93,24%,0,0,52%,Zofia,Maestro
9,MUZI,1.07,35-29 (+6),4-8 (-4),63%,0.85,29%,0,1,54%,Zofia,Jager
0,EXOD,1.48,10-6 (+4),1-0 (+1),100%,1.11,33%,1,0,22%,Zofia,Bandit
1,FROSTY ,1.16,8-6 (+2),0-2 (-2),78%,0.89,33%,0,0,50%,Buck,Jager
2,DCURR,1.54,10-6 (+4),0-0 (+0),89%,1.11,33%,0,3,50%,Hibana,Smoke
3,LXVA,0.33,2-9 (-7),1-2 (-1),33%,0.22,0%,0,0,50%,Ash,Jager
4,FROZEN,0.45,3-9 (-6),0-1 (-1),44%,0.33,0%,0,0,67%,Thermite,Echo
5,KARTLI,0.46,3-9 (-6),1-0 (+1),33%,0.33,0%,0,0,100%,Hibana,Kaid
6,WOODS,0.86,5-8 (-3),0-1 (-1),78%,0.56,11%,0,0,60%,Thatcher,Smoke
7,WITTLOC,1.81,14-6 (+8),3-0 (+3),78%,1.56,33%,2,0,36%,Buck,Jager
8,SWAGGY,1.64,10-4 (+6),1-1 (+0),78%,1.11,56%,2,2,63%,Thatcher,Jager
9,POYO,0.77,3-5 (-2),2-2 (+0),67%,0.33,44%,0,0,67%,Thermite,Smoke
0,APHER,1.12,7-5 (+2),1-0 (+1),80%,0.7,50%,0,0,29%,Gridlock,Kaid
1,VLADR,0.56,3-8 (-5),0-2 (-2),50%,0.3,20%,0,0,100%,Zofia,Vigil
2,WNGS,1.89,16-4 (+12),1-1 (+0),90%,1.6,60%,0,0,63%,IQ,Jager
3,KOOLAID,1.33,10-6 (+4),3-0 (+3),80%,1,40%,0,0,44%,Buck,Valkyrie
4,SIBERIAN,0.9,2-4 (-2),0-1 (-1),70%,0.2,60%,1,1,50%,Thermite,Smoke
5,LUPO,0.54,3-8 (-5),2-0 (+2),40%,0.3,20%,0,0,67%,Gridlock,Lesion
6,SWAMPFOX,0.72,4-7 (-3),0-0 (+0),50%,0.4,30%,0,1,25%,Thermite,Smoke
7,WIZARD,1.4,12-8 (+4),2-2 (+0),70%,1.2,20%,0,0,83%,Sledge,Jager
8,STERNALZ,0.59,3-8 (-5),0-0 (+0),50%,0.3,20%,0,0,100%,Maverick,Echo
9,DFULT,0.81,5-7 (-2),0-3 (-3),60%,0.5,30%,1,0,20%,IQ,Jager
0,RAINBOW,1.48,10-7 (+3),1-1 (+0),67%,0.83,42%,2,3,30%,Hibana,Maestro
1,PRODIGY,0.72,4-8 (-4),0-0 (+0),58%,0.33,33%,0,0,25%,Zofia,Smoke
2,GASHER,0.76,3-9 (-6),0-0 (+0),75%,0.25,25%,0,1,0%,Hibana,Smoke
3,KANZENKYARI,0.89,7-8 (-1),1-2 (-1),67%,0.58,33%,0,0,43%,IQ,Ela
4,DPFIRE,1.18,13-9 (+4),1-2 (-1),67%,1.08,25%,0,0,62%,Zofia,Jager
5,BOX,0.85,9-9 (+0),0-4 (-4),50%,0.75,25%,0,0,29%,Nomad,Goyo
6,P3NGU1N,1.44,14-8 (+6),2-0 (+2),75%,1.17,33%,0,0,57%,Buck,Smoke
7,MIKEE,1.15,11-11 (+0),5-1 (+4),83%,0.92,8%,0,0,57%,Buck,Kaid
8,GNAT,0.86,8-11 (-3),2-2 (+0),67%,0.67,8%,0,0,63%,Ash,Jager
9,WINGMAN,1.01,10-9 (+1),0-0 (+0),67%,0.83,25%,0,0,50%,IQ,Valkyrie
0, MRB,0.71,4-9 (-5),2-4 (-2),64%,0.36,18%,0,0,50%,Hibana,Pulse
1,KAWFEY,0.95,6-9 (-3),1-1 (+0),82%,0.55,18%,0,1,83%,Thermite,Castle
2,REHDOG,1.42,13-7 (+6),2-1 (+1),82%,1.18,36%,0,0,54%,Zofia,Jager
3,YOUNGONE,1.09,9-8 (+1),0-0 (+0),73%,0.82,27%,0,0,50%,Thatcher,Mute
4,PEACH,1.06,8-7 (+1),0-0 (+0),73%,0.73,36%,0,0,75%,IQ,Mozzie
5,CTRLFREEK,1.25,9-6 (+3),0-1 (-1),64%,0.82,45%,1,2,56%,Thermite,Castle
6,LOADING,1.29,12-7 (+5),2-1 (+1),73%,1.09,36%,0,0,55%,Hibana,Bandit
7,QRTZ.,0.92,7-7 (+0),2-2 (+0),64%,0.64,36%,1,0,67%,Sledge,Jager
8,ZAK.,0.65,6-11 (-5),1-1 (+0),55%,0.55,0%,0,0,17%,Zofia,Mozzie
9,DAN.,0.79,6-9 (-3),1-0 (+1),55%,0.55,18%,0,0,33%,Thatcher,Smoke
0,KANZENKYARI,0.93,9-10 (-1),3-0 (+3),58%,0.75,17%,0,0,44%,Zofia,Jager
1,DPFIRE,1.25,13-10 (+3),3-0 (+3),83%,1.08,17%,0,0,46%,Ash,Jager
2,BOX,1.05,9-9 (+0),1-0 (+1),75%,0.75,25%,0,0,75%,Sledge,Pulse
3,P3NGU1N,1.01,8-7 (+1),0-1 (-1),50%,0.67,42%,1,0,38%,IQ,Echo
4,MRB,1.28,10-7 (+3),1-1 (+0),82%,0.91,36%,0,1,50%,Lion,Maestro
5,KAWFEY,0.94,9-9 (+0),0-0 (+0),58%,0.75,25%,0,0,63%,IQ,Lesion
