,player,rating,kills,ok,kost,kpr,srv,1vx,plant,hs,atk,def
0,NESK,1.22,19-13 (+6),4-3 (+1),70%,0.95,35%,0,1,58%,Ash,Bandit
1,ZIG,0.86,10-16 (-6),1-1 (+0),65%,0.5,20%,0,1,67%,Thermite,Valkyrie
2,PSK1,0.91,9-13 (-4),0-2 (-2),70%,0.45,35%,2,0,22%,Capitao,Smoke
3,SEXYCAKE,1.07,17-14 (+3),2-4 (-2),65%,0.85,30%,0,0,59%,Lion,Jager
4,NOVYS,0.84,15-19 (-4),1-1 (+0),55%,0.75,5%,0,0,71%,Zofia,Maestro
5,CYB3R,1.23,20-13 (+7),8-3 (+5),65%,1,35%,0,0,42%,Sledge,Jager
6,ONE,0.86,10-15 (-5),1-2 (-1),65%,0.5,25%,0,2,30%,Thermite,Smoke
7,PX,0.98,11-11 (+0),0-0 (+0),68%,0.58,42%,0,1,67%,Thatcher,Echo
8,YUUK,1.01,14-13 (+1),2-2 (+0),55%,0.7,35%,1,0,50%,Lion,Valkyrie
9,SILENCE,1.02,15-14 (+1),1-2 (-1),60%,0.75,30%,0,1,67%,Lion,Echo
0,CAMERAM4N,1.37,18-9 (+9),2-0 (+2),78%,1,50%,0,0,29%,Thatcher,Lesion
1,MURINGA,0.98,8-10 (-2),0-0 (+0),72%,0.44,44%,0,4,38%,Thermite,Smoke
2,ASTRO,1.07,13-12 (+1),5-2 (+3),67%,0.72,33%,0,0,27%,Dokkaebi,Jager
3,MAV,0.96,10-12 (-2),2-1 (+1),72%,0.56,33%,1,0,40%,Buck,Valkyrie
4,YOONA,1.51,20-10 (+10),3-1 (+2),94%,1.11,44%,0,0,39%,Finka,Maestro
5,MITY,0.97,16-15 (+1),2-4 (-2),50%,0.89,17%,0,0,25%,Buck,Smoke
6,VELVET,0.82,10-13 (-3),1-4 (-3),56%,0.56,28%,1,0,44%,Dokkaebi,Valkyrie
7,VNXZZ,1.09,10-12 (-2),0-0 (+0),67%,0.56,33%,1,0,40%,Thatcher,Jager
8,ZYON,0.45,5-16 (-11),1-4 (-3),44%,0.28,11%,0,0,40%,Zofia,Lesion
9,ABREU,0.76,9-13 (-4),0-0 (+0),39%,0.5,28%,0,3,56%,Thermite,Mira
0, PSYCHO,1.08,9-9 (+0),1-4 (-3),77%,0.69,31%,0,0,44%,Dokkaebi,Valkyrie
1,KAMIKAZE,1.45,12-6 (+6),2-1 (+1),85%,0.92,54%,1,0,25%,Hibana,Jager
2,JULIO,1.17,8-6 (+2),1-0 (+1),85%,0.62,54%,1,0,43%,Thatcher,Mira
3,PZD,1.9,21-7 (+14),2-0 (+2),85%,1.62,46%,1,0,38%,Zofia,Castle
4,WAG,1.2,9-6 (+3),1-1 (+0),77%,0.69,54%,0,1,38%,Thermite,Maestro
5,SPAWNSSS,0.9,10-11 (-1),3-1 (+2),54%,0.77,15%,0,0,44%,Sledge,Maestro
6,FK1,0.38,3-12 (-9),2-2 (+0),46%,0.23,8%,0,0,67%,Zofia,Jager
7,GCR,0.57,5-12 (-7),0-3 (-3),54%,0.38,8%,0,1,60%,Blackbeard,Valkyrie
8,REVO1TZ,1.05,11-11 (+0),1-0 (+1),85%,0.85,15%,0,0,40%,Glaz,Mira
9,NINEXT,0.52,5-13 (-8),0-1 (-1),46%,0.38,0%,0,0,75%,Hibana,Smoke
0,BULLET,0.93,15-14 (+1),2-4 (-2),59%,0.68,36%,0,0,67%,Ash,Lesion
1,NOVYS,1.32,23-16 (+7),7-2 (+5),68%,1.05,27%,1,0,62%,Finka,Maestro
2,CYB3R,1.06,18-16 (+2),2-1 (+1),68%,0.82,27%,0,1,39%,Jackal,Jager
3,ONE,0.65,8-17 (-9),1-1 (+0),50%,0.36,23%,0,1,60%,Thermite,Mute
4,MKING,0.88,13-15 (-2),0-2 (-2),64%,0.59,32%,0,0,67%,Dokkaebi,Maestro
5,PANICO,0.98,15-16 (-1),3-1 (+2),64%,0.68,27%,1,0,40%,Thatcher,Maestro
6,GDNN1,1.01,14-16 (-2),1-4 (-3),59%,0.64,27%,1,5,38%,Thermite,Smoke
7,IBLACKZ,0.65,10-18 (-8),1-4 (-3),45%,0.45,18%,0,0,40%,IQ,Valkyrie
8,ION,1.4,23-14 (+9),3-2 (+1),77%,1.05,36%,1,1,52%,Zofia,Lesion
9,HUGZORD,1.07,16-13 (+3),2-1 (+1),64%,0.73,41%,1,0,57%,Jackal,Mira
0,GOHAN,1.27,15-10 (+5),3-0 (+3),89%,0.83,44%,0,0,64%,Jackal,Valkyrie
1,NESK,1.66,22-7 (+15),2-1 (+1),89%,1.22,61%,2,0,45%,Ash,Valkyrie
2,ZIG,0.96,7-9 (-2),2-1 (+1),67%,0.39,50%,0,1,50%,Thermite,Mira
3,SEXYCAKE,1.18,11-10 (+1),1-2 (-1),78%,0.61,44%,1,1,36%,Glaz,Smoke
4,DUDDS,0.91,14-16 (-2),2-3 (-1),61%,0.78,11%,1,1,29%,Jackal,Ela
5,INTACT,0.65,6-16 (-10),2-0 (+2),56%,0.33,11%,0,0,20%,Sledge,Mute
6,DRUNKZ,0.79,12-15 (-3),2-6 (-4),39%,0.67,17%,1,0,27%,Maverick,Valkyrie
7,YUUK,0.53,8-17 (-9),1-1 (+0),44%,0.44,6%,0,0,57%,IQ,Lesion
8,PALUH,1.37,22-11 (+11),2-4 (-2),67%,1.22,39%,0,0,68%,Twitch,Mute
9,BOR,0.75,8-15 (-7),1-0 (+1),50%,0.44,17%,0,3,88%,Thermite,Mira
0,CAMERAM4N,0.96,13-14 (-1),3-1 (+2),71%,0.62,33%,0,0,55%,Thatcher,Mira
1,MURINGA,1.15,16-13 (+3),3-0 (+3),62%,0.76,38%,0,3,25%,Thermite,Smoke
2,ASTRO,1.01,15-15 (+0),2-2 (+0),71%,0.71,29%,0,1,29%,Ash,Mute
3,MAV,1.52,21-9 (+12),5-0 (+5),76%,1,57%,1,0,33%,Buck,Valkyrie
4,PSYCHO,0.82,13-17 (-4),0-3 (-3),57%,0.62,19%,0,0,69%,Zofia,Doc
5,KAMIKAZE,0.89,13-14 (-1),2-3 (-1),57%,0.62,33%,0,0,62%,Thatcher,Lesion
6,JULIO,0.82,10-14 (-4),0-2 (-2),62%,0.48,33%,0,2,63%,Thermite,Bandit
7,WAG,0.75,12-17 (-5),0-3 (-3),57%,0.57,19%,0,0,58%,Dokkaebi,Smoke
8,YOONA,0.93,12-15 (-3),3-2 (+1),57%,0.57,29%,1,1,50%,Finka,Maestro
9,PINO,1.07,17-15 (+2),3-5 (-2),67%,0.81,29%,0,0,50%,Buck,Maestro
0,DUDDS,1.16,20-15 (+5),4-3 (+1),83%,0.87,35%,0,0,30%,Maverick,Jager
1,INTACT,1.06,19-16 (+3),3-5 (-2),65%,0.83,30%,0,0,53%,Buck,Mute
2,PANICO,0.91,14-17 (-3),0-1 (-1),65%,0.61,26%,0,1,50%,Thatcher,Castle
3,GDNN1,0.94,14-17 (-3),3-1 (+2),57%,0.61,26%,0,4,54%,Thermite,Smoke
4,IBLACKZ,1.09,20-15 (+5),4-4 (+0),59%,0.91,32%,0,0,50%,IQ,Valkyrie
5,ION,0.75,12-17 (-5),2-4 (-2),52%,0.52,26%,0,0,50%,Jackal,Doc
6,HUGZORD,1.02,17-17 (+0),4-0 (+4),61%,0.74,26%,1,0,43%,Blackbeard,Mira
7,DRUNKZ,0.87,14-18 (-4),2-2 (+0),61%,0.61,22%,0,0,42%,Glaz,Doc
8,YUUK,1.31,23-13 (+10),1-3 (-2),70%,1,43%,0,0,32%,Ash,Valkyrie
9,BOR,0.73,6-15 (-9),0-0 (+0),52%,0.26,35%,0,3,50%,Thermite,Castle
0,BULLET,1.08,20-17 (+3),2-1 (+1),65%,0.87,26%,1,0,60%,Ash,Mute
1,NOVYS,1.18,22-17 (+5),4-4 (+0),70%,0.96,26%,1,0,45%,Zofia,Maestro
2,CYB3R,0.71,11-20 (-9),4-3 (+1),61%,0.48,13%,0,0,45%,Jackal,Jager
3,PX,0.8,10-19 (-9),1-1 (+0),65%,0.43,17%,0,3,57%,Maverick,Mira
4,MKING,0.9,14-17 (-3),1-2 (-1),65%,0.61,26%,1,0,42%,Thermite,Maestro
5,MITY,1.08,21-17 (+4),3-3 (+0),74%,0.91,26%,0,0,29%,Jackal,Maestro
6,VELVET,1,16-16 (+0),4-4 (+0),65%,0.7,30%,0,0,73%,Ash,Lesion
7,VNXZZ,1.3,21-12 (+9),2-1 (+1),87%,0.91,48%,0,0,47%,Maverick,Bandit
8,ABREU,1.01,13-18 (-5),2-3 (-1),78%,0.57,22%,0,2,70%,Thatcher,Mira
9,VITZ,1.13,18-13 (+5),0-1 (-1),70%,0.78,43%,1,0,22%,Hibana,Mute
0,CAMERAM4N,0.79,5-7 (-2),1-0 (+1),64%,0.45,36%,0,0,80%,Maverick,Mira
1,MURINGA,1.2,7-6 (+1),0-0 (+0),82%,0.64,45%,0,3,20%,Thermite,Smoke
2,ASTRO,2.03,20-6 (+14),5-0 (+5),100%,1.82,45%,0,0,30%,Dokkaebi,Jager
3,MAV,1.37,10-4 (+6),2-0 (+2),82%,0.91,64%,1,0,56%,Blackbeard,Pulse
4,SPAWNSSS,0.88,7-8 (-1),1-2 (-1),64%,0.64,27%,0,0,43%,Sledge,Pulse
5,FK1,0.79,6-9 (-3),0-1 (-1),55%,0.55,18%,0,0,33%,Maverick,Smoke
6,GCR,0.73,8-11 (-3),1-4 (-3),45%,0.73,0%,0,0,75%,Ash,Jager
7,REVO1TZ,0.86,5-8 (-3),1-0 (+1),73%,0.45,27%,0,0,50%,Glaz,Mira
8,YOONA,0.59,3-7 (-4),0-3 (-3),55%,0.27,36%,0,0,50%,Buck,Mira
9,GABRILOS,0.47,3-9 (-6),0-1 (-1),27%,0.27,18%,0,0,0%,Thermite,Maestro
0,PSYCHO,0.88,15-17 (-2),5-3 (+2),48%,0.65,26%,1,0,64%,Glaz,Valkyrie
1,KAMIKAZE,0.99,17-16 (+1),1-0 (+1),57%,0.74,30%,0,0,47%,Maverick,Lesion
2,JULIO,0.88,11-18 (-7),1-3 (-2),83%,0.48,22%,0,2,55%,Thermite,Mira
3,WAG,1.16,20-15 (+5),2-1 (+1),78%,0.87,35%,0,0,40%,Montagne,Smoke
4,PANICO,0.85,15-17 (-2),0-1 (-1),52%,0.65,26%,0,0,47%,Thatcher,Lesion
5,GDNN1,0.79,12-20 (-8),0-2 (-2),65%,0.52,13%,0,1,40%,Thermite,Smoke
6,IBLACKZ,0.96,17-18 (-1),2-5 (-3),61%,0.74,22%,1,1,50%,Zofia,Valkyrie
7,ION,1.13,21-18 (+3),4-3 (+1),61%,0.91,22%,0,1,37%,Ash,Smoke
8,HUGZORD,1.04,14-13 (+1),2-4 (-2),74%,0.61,43%,1,2,67%,Montagne,Mira
9,PINO,1.36,23-13 (+10),6-1 (+5),70%,1,43%,1,0,41%,Sledge,Pulse
0,NESK,1.14,20-16 (+4),5-2 (+3),65%,0.87,30%,0,1,65%,Ash,Doc
1,ZIG,0.67,4-14 (-10),0-1 (-1),57%,0.17,39%,0,1,33%,Thermite,Maestro
2, SEXYCAKE,1.19,20-11 (+9),2-2 (+0),61%,0.87,52%,0,0,24%,Zofia,Smoke
3,MITY,0.86,13-16 (-3),5-4 (+1),57%,0.57,30%,0,0,58%,Sledge,Echo
4,VELVET,0.72,9-18 (-9),1-4 (-3),61%,0.39,22%,0,0,67%,Ash,Lesion
5,VNXZZ,1.15,20-13 (+7),1-1 (+0),65%,0.87,43%,1,0,40%,Zofia,Bandit
6,ABREU,0.76,11-17 (-6),2-3 (-1),43%,0.48,26%,0,3,63%,Thermite,Pulse
7,PALUH,1.48,28-12 (+16),5-2 (+3),74%,1.22,48%,0,0,52%,Buck,Jager
8,SILENCE,0.71,9-15 (-6),1-3 (-2),57%,0.39,35%,0,0,22%,Dokkaebi,Smoke
9,VITZ,0.86,14-17 (-3),1-1 (+0),48%,0.61,26%,0,1,71%,Jackal,Smoke
0,BULLET,1.15,20-17 (+3),4-2 (+2),70%,0.87,26%,1,0,39%,Buck,Mute
1,NOVYS,1.32,26-17 (+9),3-1 (+2),70%,1.13,26%,1,0,54%,Ash,Valkyrie
2,CYB3R,0.99,19-17 (+2),2-3 (-1),61%,0.83,26%,0,0,37%,Jackal,Jager
3,PX,0.7,7-16 (-9),1-0 (+1),48%,0.3,30%,0,3,43%,Thermite,Echo
4,DUDDS,0.9,17-17 (+0),3-4 (-1),57%,0.74,26%,0,0,41%,Zofia,Jager
5,MKING,0.7,9-18 (-9),2-4 (-2),57%,0.39,22%,0,0,44%,Capitao,Maestro
6,INTACT,0.81,12-17 (-5),2-5 (-3),61%,0.52,26%,0,0,50%,Buck,Smoke
7,DRUNKZ,1.34,21-15 (+6),1-0 (+1),74%,0.91,35%,1,1,67%,Jackal,Maestro
8,YUUK,1.12,20-18 (+2),3-2 (+1),65%,0.87,22%,0,0,50%,Ash,Lesion
9,BOR,1.01,14-15 (-1),1-1 (+0),57%,0.61,35%,2,4,50%,Thermite,Pulse
0,GOHAN,1.28,21-13 (+8),6-3 (+3),74%,0.91,43%,1,1,47%,Twitch,Mute
1,NESK,1.2,22-15 (+7),2-1 (+1),61%,0.96,35%,0,0,33%,Ash,Valkyrie
2,ZIG,0.85,10-15 (-5),2-2 (+0),61%,0.43,35%,0,4,50%,Thermite,Maestro
3,SPAWNSSS ,0.88,16-17 (-1),3-4 (-1),57%,0.7,26%,0,0,38%,Sledge,Valkyrie
4,FK1,0.63,8-19 (-11),3-5 (-2),48%,0.35,17%,0,0,50%,Maverick,Smoke
5,GCR,1.11,21-16 (+5),4-1 (+3),61%,0.91,30%,0,0,67%,Ash,Valkyrie
6,REVO1TZ,0.96,15-15 (+0),0-1 (-1),70%,0.65,35%,0,0,45%,Buck,Mira
7,PALUH,1.12,19-15 (+4),2-4 (-2),70%,0.83,35%,0,0,42%,Jackal,Jager
8,SILENCE,0.85,11-15 (-4),0-1 (-1),70%,0.48,35%,0,0,27%,Dokkaebi,Smoke
9,GABRILOS,0.87,12-16 (-4),1-1 (+0),61%,0.52,30%,0,2,55%,Thermite,Jager
0,NECROX,0.97,22-23 (-1),2-2 (+0),70%,0.73,23%,0,0,43%,Thermite,Smoke
1,YUNG,0.91,20-22 (-2),1-1 (+0),57%,0.67,27%,0,1,60%,Hibana,Lesion
2,NVK,0.86,17-23 (-6),3-2 (+1),60%,0.57,23%,1,0,35%,Thatcher,Jager
3,CANADIAN,0.91,22-23 (-1),5-6 (-1),57%,0.73,23%,0,0,45%,Ash,Doc
4,EASILYY,0.89,18-21 (-3),4-4 (+0),57%,0.6,30%,1,1,33%,Thatcher,Valkyrie
5,SLASHUG,1.08,24-21 (+3),2-4 (-2),70%,0.8,30%,0,2,36%,Hibana,Smoke
6,ECL9PSE,1.05,24-20 (+4),4-4 (+0),57%,0.8,33%,0,0,52%,Buck,Pulse
7,SHUTTLE,1.03,21-19 (+2),0-2 (-2),72%,0.72,34%,1,0,40%,IQ,Bandit
8,VERTCL,1.28,28-18 (+10),4-2 (+2),80%,0.93,40%,0,0,23%,IQ,Valkyrie
9,GOTCHA,0.8,18-24 (-6),5-3 (+2),47%,0.6,20%,0,0,28%,IQ,Jager
0,SKYS,1.18,6-4 (+2),2-2 (+0),78%,0.67,56%,0,0,50%,Buck,Jager
1,LAXING,1.53,11-5 (+6),1-1 (+0),89%,1.22,44%,0,0,40%,Thatcher,Lesion
2,MARKTHESHARK,1.12,5-4 (+1),0-0 (+0),78%,0.56,56%,0,1,20%,Thermite,Doc
3,FOXA,1.27,7-4 (+3),1-0 (+1),89%,0.78,56%,0,0,50%,Sledge,Pulse
4,SHLONGII,0.63,4-8 (-4),2-0 (+2),56%,0.44,11%,0,0,50%,Capitao,Doc
5,ACHIEVED,1.11,9-7 (+2),2-3 (-1),56%,1,22%,0,0,50%,Buck,Pulse
6,BIOLOGICS,0.9,4-7 (-3),0-1 (-1),67%,0.44,22%,0,2,75%,IQ,Echo
7, NICKS,0.39,3-9 (-6),0-0 (+0),33%,0.33,0%,0,0,33%,Zofia,Smoke
8,RETRO,1.39,10-4 (+6),0-2 (-2),78%,1.11,56%,0,0,40%,Jackal,Smoke
9,KRUSHER,0.09,1-9 (-8),1-0 (+1),11%,0.11,0%,0,0,100%,Hibana,Bandit
0,NECROX,1.3,9-5 (+4),0-2 (-2),90%,0.9,50%,0,0,50%,Sledge,Smoke
1,YUNG,1.77,10-4 (+6),0-0 (+0),100%,1,60%,0,4,33%,Hibana,Mute
2,NVK,1.08,8-7 (+1),1-1 (+0),70%,0.8,30%,0,0,38%,Thatcher,Jager
3,CANADIAN,1.24,10-6 (+4),1-1 (+0),70%,1,40%,0,0,70%,Twitch,Doc
4,GEOO,1.29,8-4 (+4),2-2 (+0),90%,0.8,60%,0,0,88%,Ash,Pulse
5,BOSCO,0.91,6-8 (-2),0-1 (-1),30%,0.6,20%,1,0,33%,Ash,Jager
6,CHALA,0.71,6-10 (-4),3-2 (+1),50%,0.6,0%,0,0,17%,Thermite,Mute
7,THINKINGNADE,0.57,4-8 (-4),0-0 (+0),30%,0.4,20%,0,0,75%,Thatcher,Smoke
8,REDEEMER,0.63,5-9 (-4),1-1 (+0),40%,0.5,10%,0,0,40%,IQ,Maestro
9,RAMPY,0.6,5-10 (-5),2-0 (+2),40%,0.5,0%,0,0,20%,Twitch,Ela
0,BRYAN,0.76,4-7 (-3),0-1 (-1),56%,0.44,22%,0,0,50%,Thermite,Smoke
1,EASILYY,1.27,8-5 (+3),0-1 (-1),89%,0.89,44%,0,0,25%,IQ,Castle
2,SLASHUG,1.31,7-5 (+2),0-1 (-1),78%,0.78,44%,0,4,67%,Thermite,Mute
3,ECL9PSE,1.41,9-4 (+5),1-1 (+0),78%,1,56%,0,0,89%,Dokkaebi,Pulse
4,SHUTTLE,1.45,9-5 (+4),3-0 (+3),89%,1,38%,1,0,13%,Maverick,Smoke
5,VERTCL,1.17,8-7 (+1),2-0 (+2),78%,0.89,22%,0,0,25%,Jackal,Doc
6,MAHMAN,0.85,6-8 (-2),2-0 (+2),44%,0.67,11%,0,0,67%,Sledge,Mute
7, KRAZY,0.35,3-9 (-6),0-3 (-3),44%,0.33,0%,0,0,33%,IQ,Valkyrie
8,ACID,1.15,9-8 (+1),0-0 (+0),67%,1,11%,0,0,56%,Maverick,Pulse
9,YETI,0.55,4-9 (-5),1-2 (-1),44%,0.44,0%,0,0,75%,Blackbeard,Doc
0,ENGLAND,0.54,3-10 (-7),0-2 (-2),55%,0.27,9%,0,1,33%,Hibana,Smoke
1,BEASTLY,0.99,6-7 (-1),0-2 (-2),82%,0.55,36%,0,1,25%,Sledge,Valkyrie
2,VANDAL,0.95,8-9 (-1),0-1 (-1),73%,0.73,18%,0,1,63%,Thatcher,Mira
3,MINT,0.99,6-8 (-2),3-0 (+3),73%,0.55,27%,0,1,60%,Blitz,Mira
4,HOTANCOLD,1.32,11-8 (+3),1-1 (+0),91%,1,27%,0,1,82%,Capitao,Mute
5,JARVIS,1,7-7 (+0),1-1 (+0),64%,0.64,36%,1,0,43%,Thatcher,Valkyrie
6,POJOMAN,1.12,8-8 (+0),1-0 (+1),82%,0.73,27%,0,2,38%,Hibana,Smoke
7,GHOST,0.58,4-11 (-7),0-2 (-2),64%,0.36,0%,0,0,0%,Capitao,Ela
8,NYX,1.52,13-6 (+7),3-0 (+3),82%,1.18,45%,1,1,38%,Ash,Jager
9,HYPER,1.72,16-8 (+8),2-2 (+0),64%,1.45,27%,1,1,47%,Ash,Vigil
0,EASILYY,0.5,3-10 (-7),0-2 (-2),33%,0.25,17%,0,1,100%,IQ,Lesion
1,SLASHUG,0.55,5-11 (-6),0-3 (-3),50%,0.42,8%,0,0,80%,Capitao,Mira
2,ECL9PSE,1.4,14-9 (+5),1-0 (+1),67%,1.17,25%,1,0,62%,Zofia,Valkyrie
3,SHUTTLE,1.11,10-7 (+3),0-2 (-2),67%,0.83,42%,0,0,20%,Buck,Rook
4,VERTCL,0.75,6-9 (-3),2-2 (+0),50%,0.5,25%,0,0,50%,Ash,Smoke
5,MINT,1.02,8-8 (+0),1-0 (+1),75%,0.67,33%,0,0,50%,Jackal,Lesion
6,HOTANCOLD,1.25,11-7 (+4),3-0 (+3),75%,0.92,42%,0,0,60%,Buck,Rook
7,JARVIS,1.4,14-7 (+7),3-2 (+1),67%,1.17,42%,0,1,64%,Twitch,Doc
8,POJOMAN,0.9,5-9 (-4),2-1 (+1),83%,0.42,25%,0,1,40%,Capitao,Mira
9,NYX,0.92,8-7 (+1),0-0 (+0),50%,0.67,42%,0,0,50%,Ash,Lesion
0,SKYS,1.13,10-8 (+2),0-1 (-1),67%,0.83,33%,0,0,40%,Sledge,Smoke
1,LAXING,1.17,10-6 (+4),2-0 (+2),67%,0.83,50%,0,0,70%,Zofia,Pulse
2,MARKTHESHARK,1,8-8 (+0),0-1 (-1),67%,0.67,33%,0,2,63%,Capitao,Mira
3,BOSCO,0.67,6-10 (-4),0-0 (+0),50%,0.5,17%,0,0,40%,Thatcher,Jager
4,CHALA ,0.82,6-9 (-3),2-2 (+0),50%,0.5,25%,0,2,0%,Hibana,Mute
5,THINKINGNADE,0.47,1-9 (-8),0-3 (-3),50%,0.08,25%,0,0,0%,Buck,Smoke
6,REDEEMER,0.68,4-10 (-6),1-0 (+1),67%,0.33,17%,0,0,50%,Ying,Maestro
7,FOXA,1.02,8-6 (+2),1-2 (-1),58%,0.67,50%,0,1,38%,Twitch,Pulse
8,RAMPY,2.34,22-6 (+16),3-1 (+2),83%,1.83,50%,2,1,50%,Ash,Pulse
9,RETRO,0.77,7-11 (-4),3-2 (+1),67%,0.58,8%,0,1,43%,Ash,Castle
0,NECROX,1.91,12-4 (+8),2-0 (+2),100%,1.5,50%,1,0,64%,Jackal,Smoke
1,YUNG,1.65,10-3 (+7),1-0 (+1),75%,1.25,63%,1,0,20%,Hibana,Mira
2,NVK,0.9,4-6 (-2),0-1 (-1),75%,0.5,25%,0,0,25%,IQ,Doc
3,CANADIAN,0.83,4-5 (-1),0-1 (-1),50%,0.5,38%,0,0,25%,Ash,Rook
4,SHLONGII,1.07,8-8 (+0),1-0 (+1),88%,1,0%,0,0,50%,Ash,Lesion
5,ACHIEVED,0.78,5-7 (-2),2-1 (+1),50%,0.63,13%,0,0,50%,Buck,Doc
6,BIOLOGICS,0.22,1-8 (-7),1-1 (+0),13%,0.13,0%,0,0,100%,Capitao,Pulse
7,GOTCHA,1.11,7-5 (+2),1-2 (-1),63%,0.88,38%,0,0,14%,Zofia,Mute
8,KRUSHER,0.52,2-7 (-5),0-2 (-2),38%,0.25,13%,0,1,100%,Hibana,Jager
9,TOMAS,0.96,7-7 (+0),0-0 (+0),63%,0.88,13%,0,0,50%,IQ,Smoke
0,BRYAN,1.23,5-4 (+1),1-0 (+1),75%,0.63,50%,0,1,20%,Thermite,Smoke
1,ENGLAND,0.45,2-7 (-5),1-2 (-1),38%,0.25,13%,0,0,100%,Thermite,Smoke
2,BEASTLY,0.7,5-7 (-2),0-1 (-1),50%,0.63,13%,0,0,60%,Thatcher,Pulse
3,VANDAL,0.76,3-6 (-3),0-0 (+0),63%,0.38,25%,0,0,33%,Hibana,Castle
4,MAHMAN,0.95,6-6 (+0),1-1 (+0),63%,0.75,25%,0,0,33%,Buck,Jager
5,KRAZY,1.98,13-2 (+11),2-1 (+1),75%,1.63,75%,1,0,58%,Ash,Bandit
6,GHOST,0.3,1-7 (-6),0-2 (-2),25%,0.13,13%,0,0,0%,IQ,Mute
7,ACID,1.17,5-4 (+1),0-1 (-1),88%,0.63,50%,0,1,60%,Hibana,Lesion
8,YETI,1.01,5-4 (+1),1-0 (+1),63%,0.63,50%,0,0,40%,Thatcher,Pulse
9,HYPER,1.24,9-7 (+2),2-0 (+2),63%,1.13,13%,0,0,44%,Zofia,Jager
0,NECROX,1.23,9-7 (+2),1-0 (+1),100%,1,22%,0,0,44%,Jackal,Smoke
1,YUNG,1.22,3-4 (-1),0-0 (+0),100%,0.33,56%,1,0,100%,Thermite,Mira
2,NVK,1.31,9-6 (+3),2-1 (+1),78%,1,33%,1,0,33%,Thatcher,Jager
3,CANADIAN,1.27,9-6 (+3),0-2 (-2),78%,1,33%,0,0,44%,Ash,Castle
4,EASILYY,0.76,6-8 (-2),0-1 (-1),44%,0.67,11%,0,1,20%,Thatcher,Smoke
5,SLASHUG,0.77,5-8 (-3),1-0 (+1),56%,0.56,11%,0,0,80%,Hibana,Mira
6,ECL9PSE,0.73,6-9 (-3),1-2 (-1),56%,0.67,0%,0,0,33%,Zofia,Castle
7,GEOO,1.55,11-5 (+6),2-1 (+1),89%,1.22,44%,0,2,56%,Sledge,Bandit
8,SHUTTLE,0.84,5-7 (-2),0-1 (-1),56%,0.56,22%,0,0,50%,Capitao,Jager
9,VERTCL,0.7,5-9 (-4),2-1 (+1),56%,0.56,0%,0,0,50%,IQ,Valkyrie
0,BRYAN,0.68,4-9 (-5),2-1 (+1),50%,0.4,10%,0,1,50%,Hibana,Smoke
1,MAHMAN,0.97,9-9 (+0),0-1 (-1),60%,0.9,10%,0,0,25%,Buck,Pulse
2,KRAZY,0.98,8-9 (-1),0-1 (-1),80%,0.8,10%,0,0,57%,Capitao,Mute
3,SHLONGII,0.94,7-9 (-2),2-0 (+2),80%,0.7,10%,0,0,71%,Ash,Mute
4,ACID,0.75,5-8 (-3),0-1 (-1),50%,0.5,20%,1,0,0%,Thatcher,Doc
5,YETI,0.67,4-8 (-4),1-3 (-2),50%,0.4,20%,1,0,75%,IQ,Jager
6,ACHIEVED,1.16,10-7 (+3),3-2 (+1),60%,1,30%,0,0,67%,Buck,Vigil
7,BIOLOGICS,1.15,7-4 (+3),1-0 (+1),70%,0.7,60%,0,0,14%,IQ,Valkyrie
8,KRUSHER,1.3,10-8 (+2),0-1 (-1),80%,1,20%,0,1,20%,Thermite,Bandit
9,TOMAS,1.54,9-2 (+7),1-0 (+1),90%,0.9,80%,0,0,13%,Thatcher,Smoke
0,BOSCO,1.45,15-8 (+7),2-0 (+2),83%,1.25,33%,0,0,29%,Sledge,Lesion
1,MINT ,1.77,17-6 (+11),2-0 (+2),75%,1.42,50%,1,1,40%,Blitz,Caveira
2,HOTANCOLD,0.76,4-8 (-4),0-3 (-3),67%,0.33,33%,0,0,25%,Thatcher,Bandit
3,JARVIS,0.93,7-9 (-2),1-0 (+1),67%,0.58,25%,0,0,33%,Capitao,Pulse
4,POJOMAN,0.87,5-8 (-3),1-0 (+1),75%,0.42,33%,0,0,100%,Thermite,Smoke
5,CHALA,0.77,5-10 (-5),1-2 (-1),67%,0.42,17%,0,2,50%,Hibana,Mira
6,THINKINGNADE,0.71,6-10 (-4),2-3 (-1),58%,0.5,17%,0,0,17%,Buck,Smoke
7,REDEEMER,0.73,6-10 (-4),1-1 (+0),50%,0.5,17%,0,1,0%,Thermite,Maestro
8,RAMPY,0.91,7-7 (+0),0-0 (+0),50%,0.58,42%,1,0,14%,Ash,Castle
9,NYX,1.31,12-8 (+4),2-3 (-1),75%,1,33%,0,0,73%,Buck,Doc
0,SKYS,1.82,12-3 (+9),4-0 (+4),88%,1.5,63%,0,0,36%,Sledge,Smoke
1,LAXING,1.14,6-4 (+2),1-1 (+0),75%,0.75,50%,0,0,33%,Zofia,Valkyrie
2,ENGLAND,0.6,3-7 (-4),0-0 (+0),50%,0.38,13%,0,0,67%,Hibana,Smoke
3,BEASTLY,0.26,0-7 (-7),0-1 (-1),38%,0,13%,0,0,0%,Capitao,Jager
4,VANDAL,0.8,6-7 (-1),1-2 (-1),50%,0.75,13%,0,0,83%,Buck,Bandit
5,MARKTHESHARK,1.2,6-6 (+0),1-1 (+0),75%,0.75,25%,1,1,50%,Thermite,Jager
