,Date,Team 1,Team 2,Team 1 Ban 1,Team 1 Ban 2,Team 1 Ban 3,Team 1 Pick 1,Team 2 Ban 1,Team 2 Ban 2,Team 2 Ban 3,Team 2 Pick 1,decider,Map 1 Round 1 Winner,Map 1 Round 1 Bombsite,Map 1 Round 1 Win Type,Map 1 Round 2 Winner,Map 1 Round 2 Bombsite,Map 1 Round 2 Win Type,Map 1 Round 3 Winner,Map 1 Round 3 Bombsite,Map 1 Round 3 Win Type,Map 1 Round 4 Winner,Map 1 Round 4 Bombsite,Map 1 Round 4 Win Type,Map 1 Round 5 Winner,Map 1 Round 5 Bombsite,Map 1 Round 5 Win Type,Map 1 Round 6 Winner,Map 1 Round 6 Bombsite,Map 1 Round 6 Win Type,Map 1 Round 7 Winner,Map 1 Round 7 Bombsite,Map 1 Round 7 Win Type,Map 2 Round 0 Winner,Map 2 Round 0 Bombsite,Map 2 Round 0 Win Type,Map 2 Round 1 Winner,Map 2 Round 1 Bombsite,Map 2 Round 1 Win Type,Map 2 Round 2 Winner,Map 2 Round 2 Bombsite,Map 2 Round 2 Win Type,Map 2 Round 3 Winner,Map 2 Round 3 Bombsite,Map 2 Round 3 Win Type,Map 2 Round 4 Winner,Map 2 Round 4 Bombsite,Map 2 Round 4 Win Type,Map 2 Round 5 Winner,Map 2 Round 5 Bombsite,Map 2 Round 5 Win Type,Map 2 Round 6 Winner,Map 2 Round 6 Bombsite,Map 2 Round 6 Win Type,Map 2 Round 7 Winner,Map 2 Round 7 Bombsite,Map 2 Round 7 Win Type,Map 3 Round 0 Winner,Map 3 Round 0 Bombsite,Map 3 Round 0 Win Type,Map 3 Round 1 Winner,Map 3 Round 1 Bombsite,Map 3 Round 1 Win Type,Map 3 Round 2 Winner,Map 3 Round 2 Bombsite,Map 3 Round 2 Win Type,Map 3 Round 3 Winner,Map 3 Round 3 Bombsite,Map 3 Round 3 Win Type,Map 3 Round 4 Winner,Map 3 Round 4 Bombsite,Map 3 Round 4 Win Type,Map 3 Round 5 Winner,Map 3 Round 5 Bombsite,Map 3 Round 5 Win Type,Map 1 Round 8 Winner,Map 1 Round 8 Bombsite,Map 1 Round 8 Win Type,Map 3 Round 6 Winner,Map 3 Round 6 Bombsite,Map 3 Round 6 Win Type,Map 1 Round 9 Winner,Map 1 Round 9 Bombsite,Map 1 Round 9 Win Type,Map 1 Round 10 Winner,Map 1 Round 10 Bombsite,Map 1 Round 10 Win Type,Map 1 Round 11 Winner,Map 1 Round 11 Bombsite,Map 1 Round 11 Win Type,Map 2 Round 8 Winner,Map 2 Round 8 Bombsite,Map 2 Round 8 Win Type,Map 2 Round 9 Winner,Map 2 Round 9 Bombsite,Map 2 Round 9 Win Type,Map 3 Round 7 Winner,Map 3 Round 7 Bombsite,Map 3 Round 7 Win Type,Map 3 Round 8 Winner,Map 3 Round 8 Bombsite,Map 3 Round 8 Win Type,Map 3 Round 9 Winner,Map 3 Round 9 Bombsite,Map 3 Round 9 Win Type,Map 2 Round 10 Winner,Map 2 Round 10 Bombsite,Map 2 Round 10 Win Type,Map 3 Round 10 Winner,Map 3 Round 10 Bombsite,Map 3 Round 10 Win Type,Map 1 Round 12 Winner,Map 1 Round 12 Bombsite,Map 1 Round 12 Win Type,Map 2 Round 11 Winner,Map 2 Round 11 Bombsite,Map 2 Round 11 Win Type,Map 2 Round 12 Winner,Map 2 Round 12 Bombsite,Map 2 Round 12 Win Type,Map 1 Round 13 Winner,Map 1 Round 13 Bombsite,Map 1 Round 13 Win Type,Map 3 Round 11 Winner,Map 3 Round 11 Bombsite,Map 3 Round 11 Win Type,Map 3 Round 12 Winner,Map 3 Round 12 Bombsite,Map 3 Round 12 Win Type,Map 4 Round 0 Winner,Map 4 Round 0 Bombsite,Map 4 Round 0 Win Type,Map 4 Round 1 Winner,Map 4 Round 1 Bombsite,Map 4 Round 1 Win Type,Map 4 Round 2 Winner,Map 4 Round 2 Bombsite,Map 4 Round 2 Win Type,Map 4 Round 3 Winner,Map 4 Round 3 Bombsite,Map 4 Round 3 Win Type,Map 4 Round 4 Winner,Map 4 Round 4 Bombsite,Map 4 Round 4 Win Type,Map 4 Round 5 Winner,Map 4 Round 5 Bombsite,Map 4 Round 5 Win Type,Map 4 Round 6 Winner,Map 4 Round 6 Bombsite,Map 4 Round 6 Win Type,Map 4 Round 7 Winner,Map 4 Round 7 Bombsite,Map 4 Round 7 Win Type,Map 4 Round 8 Winner,Map 4 Round 8 Bombsite,Map 4 Round 8 Win Type,Map 4 Round 9 Winner,Map 4 Round 9 Bombsite,Map 4 Round 9 Win Type,Map 4 Round 10 Winner,Map 4 Round 10 Bombsite,Map 4 Round 10 Win Type,Map 4 Round 11 Winner,Map 4 Round 11 Bombsite,Map 4 Round 11 Win Type,Map 4 Round 12 Winner,Map 4 Round 12 Bombsite,Map 4 Round 12 Win Type,Team 1 Pick 2,Team 2 Pick 2,Map 1 Round 14 Winner,Map 1 Round 14 Bombsite,Map 1 Round 14 Win Type,Map 1 Round 15 Winner,Map 1 Round 15 Bombsite,Map 1 Round 15 Win Type,Map 2 Round 13 Winner,Map 2 Round 13 Bombsite,Map 2 Round 13 Win Type,Map 2 Round 14 Winner,Map 2 Round 14 Bombsite,Map 2 Round 14 Win Type,Map 1 Round 16 Winner,Map 1 Round 16 Bombsite,Map 1 Round 16 Win Type,Map 1 Round 17 Winner,Map 1 Round 17 Bombsite,Map 1 Round 17 Win Type,Map 1 Round 18 Winner,Map 1 Round 18 Bombsite,Map 1 Round 18 Win Type,Map 1 Round 19 Winner,Map 1 Round 19 Bombsite,Map 1 Round 19 Win Type,Map 1 Round 20 Winner,Map 1 Round 20 Bombsite,Map 1 Round 20 Win Type,Map 1 Round 21 Winner,Map 1 Round 21 Bombsite,Map 1 Round 21 Win Type,Map 1 Round 22 Winner,Map 1 Round 22 Bombsite,Map 1 Round 22 Win Type,Map 1 Round 23 Winner,Map 1 Round 23 Bombsite,Map 1 Round 23 Win Type,Map 5 Round 0 Winner,Map 5 Round 0 Bombsite,Map 5 Round 0 Win Type,Map 5 Round 1 Winner,Map 5 Round 1 Bombsite,Map 5 Round 1 Win Type,Map 5 Round 2 Winner,Map 5 Round 2 Bombsite,Map 5 Round 2 Win Type,Map 5 Round 3 Winner,Map 5 Round 3 Bombsite,Map 5 Round 3 Win Type,Map 5 Round 4 Winner,Map 5 Round 4 Bombsite,Map 5 Round 4 Win Type,Map 5 Round 5 Winner,Map 5 Round 5 Bombsite,Map 5 Round 5 Win Type,Map 5 Round 6 Winner,Map 5 Round 6 Bombsite,Map 5 Round 6 Win Type,Map 5 Round 7 Winner,Map 5 Round 7 Bombsite,Map 5 Round 7 Win Type,Map 5 Round 8 Winner,Map 5 Round 8 Bombsite,Map 5 Round 8 Win Type,Map 5 Round 9 Winner,Map 5 Round 9 Bombsite,Map 5 Round 9 Win Type,Map 1 Round 24 Winner,Map 1 Round 24 Bombsite,Map 1 Round 24 Win Type,Map 3 Round 13 Winner,Map 3 Round 13 Bombsite,Map 3 Round 13 Win Type,Map 3 Round 14 Winner,Map 3 Round 14 Bombsite,Map 3 Round 14 Win Type,Team 1 Ban 4,Map 5 Round 10 Winner,Map 5 Round 10 Bombsite,Map 5 Round 10 Win Type,Map 5 Round 11 Winner,Map 5 Round 11 Bombsite,Map 5 Round 11 Win Type,Map 5 Round 12 Winner,Map 5 Round 12 Bombsite,Map 5 Round 12 Win Type,Map 5 Round 13 Winner,Map 5 Round 13 Bombsite,Map 5 Round 13 Win Type,Team 1 Pick 3,Map 4 Round 13 Winner,Map 4 Round 13 Bombsite,Map 4 Round 13 Win Type
1769,Jul 6 2019,PENTA Sports,Team MCES,,,,,,,,,Villa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1770,Jul 6 2019,Team Reciprocity,Trust Gaming,,,,,,,,,Club House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1771,Jul 6 2019,Cloud9,Team Vitality,,,,,,,,,Kafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1772,Jun 29 2019,0RGL3SS,Team SiNister,,,,,,,,,,0RGL3SS,Church/Arsenal,round timer,0RGL3SS,Cash/CCTV,elimination,0RGL3SS,Master/Gym,elimination,0RGL3SS,Church/Arsenal,site retake and defuser disable,Team SiNister,Cash/CCTV,elimination,0RGL3SS,Cash/CCTV,round timer,Team SiNister,Church/Arsenal,elimination,0RGL3SS,Penthouse/Theater,elimination,0RGL3SS,Kitchen/Service,round timer,0RGL3SS,Blue/Sunrise,elimination,0RGL3SS,Penthouse/Theater,site retake and defuser disable,0RGL3SS,Kitchen/Service,elimination,0RGL3SS,Blue/Sunrise,elimination,Team SiNister,Blue/Sunrise,round timer,0RGL3SS,Hookah/Billiards,elimination,,,,,,,,,,,,,,,,,,,Team SiNister,Cash/CCTV,round timer,,,,0RGL3SS,Master/Gym,elimination,Team SiNister,Church/Arsenal,elimination,0RGL3SS,Master/Gym,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1773,Jul 6 2019,Chaos,Team Vitality,,,,,,,,,Border,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1774,Jul 6 2019,Rogue,Team Reciprocity,,,,,,,,,Club House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1775,Jul 6 2019,FaZe Clan,PENTA Sports,Coastline,Bank,,Kafe,Consulate,Club House,,Border,Villa,FaZe Clan,Armory/Archives,elimination,FaZe Clan,Ventilation/Workshop,elimination,PENTA Sports,Customs/Supply,elimination,PENTA Sports,Armory/Archives,elimination,PENTA Sports,Armory/Archives,elimination,FaZe Clan,Armory/Archives,elimination,FaZe Clan,Armory/Archives,elimination,PENTA Sports,Bar/Cocktail,elimination,FaZe Clan,Service/Cooking,elimination,PENTA Sports,Reading/Dining,elimination,PENTA Sports,Bar/Cocktail,round timer,FaZe Clan,Service/Cooking,elimination,PENTA Sports,Reading/Dining,elimination,PENTA Sports,Bar/Cocktail,elimination,FaZe Clan,Bar/Cocktail,elimination,FaZe Clan,Trophy/Statue,elimination,FaZe Clan,Aviator/Game Room,elimination,FaZe Clan,Kitchen/Dining,elimination,PENTA Sports,Trophy/Statue,elimination ,PENTA Sports,Trophy/Statue,elimination,FaZe Clan,Trophy/Statue,elimination,FaZe Clan,Armory/Archives,elimination,PENTA Sports,Aviator/Game Room,elimination,FaZe Clan,Ventilation/Workshop,elimination,FaZe Clan,Armory/Archives,elimination,,,,FaZe Clan,Reading/Dining,round timer,PENTA Sports,Service/Cooking,elimination,PENTA Sports,Trophy/Statue,elimination,FaZe Clan,Kitchen/Dining,elimination,FaZe Clan,Aviator/Game Room,elimination,PENTA Sports,Bar/Cocktail,elimination,PENTA Sports,Trophy/Statue,site retake and defuser disable,,,,,,,,,,,,,PENTA Sports,Aviator/Game Room,elimination,FaZe Clan,Trophy/Statue,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FaZe Clan,Kitchen/Dining,round timer,,,,,,,,,,,,,,,,,,,,
1776,Jul 6 2019,Team SoloMid,Looking for Org.,,,,,,,,,Kafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1777,Jul 6 2019,Natus Vincere,Looking for Org.,Bank,Villa,,Consulate,Border,Coastline,,Kafe,Club House,Looking for Org.,CEO/Meeting,elimination,Looking for Org.,Garage/Cafeteria,elimination,Natus Vincere,Lobby/Piano,elimination,Natus Vincere,Lobby/Piano,elimination,Looking for Org.,CEO/Meeting,elimination,Natus Vincere,Garage/Cafeteria,elimination,Natus Vincere,Garage/Cafeteria,elimination,Natus Vincere,Reading/Dining,elimination,Natus Vincere,Bar/Cocktail,elimination,Looking for Org.,Service/Cooking,elimination,Looking for Org.,Reading/Dining,bomb defuse,Looking for Org.,Bar/Cocktail,elimination,Natus Vincere,Bar/Cocktail,round timer,Natus Vincere,Service/Cooking,elimination,Natus Vincere,Service/Cooking,elimination,Looking for Org.,Church/Arsenal,elimination,Looking for Org.,Cash/CCTV,elimination,Natus Vincere,Church/Arsenal,round timer,Natus Vincere,Cash/CCTV,elimination,Natus Vincere,Master/Gym,elimination,Natus Vincere,Church/Arsenal,elimination,Natus Vincere,Lobby/Piano,round timer,Looking for Org.,Church/Arsenal,elimination,Looking for Org.,CEO/Meeting,elimination,Looking for Org.,Garage/Cafeteria,elimination,Looking for Org.,Garage/Cafeteria,elimination,Looking for Org.,Bar/Cocktail,round timer,Natus Vincere,Reading/Dining,elimination,Looking for Org.,Cash/CCTV,elimination,Natus Vincere,Master/Gym,elimination,Looking for Org.,Church/Arsenal,site retake and defuser disable,Looking for Org.,Reading/Dining,elimination,Natus Vincere,Cash/CCTV,elimination,Natus Vincere,Lobby/Piano,elimination,Natus Vincere,Bar/Cocktail,elimination,,,,Looking for Org.,Lobby/Piano,elimination,Looking for Org.,Cash/CCTV,round timer,Looking for Org.,Church/Arsenal,site retake and defuser disable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Looking for Org.,CEO/Meeting,round timer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Natus Vincere,Master/Gym,elimination,Looking for Org.,Cash/CCTV,elimination,,,,,,,,,,,,,,,,,
1778,Jul 7 2019,Chaos,Rogue,Bank,Villa,,Consulate,Coastline,Border,,Kafe,Club House,Rogue,Reading/Dining,elimination,Chaos,Bar/Cocktail,round timer,Chaos,Service/Cooking,elimination,Chaos,Reading/Dining,round timer,Chaos,Bar/Cocktail,round timer,Rogue,Service/Cooking,elimination,Rogue,Bar/Cocktail,elimination,Rogue,Garage/Cafeteria,elimination,Rogue,Lobby/Piano,round timer,Chaos,CEO/Meeting,elimination,Chaos,Garage/Cafeteria,elimination,Chaos,Garage/Cafeteria,elimination,Chaos,CEO/Meeting,elimination,Chaos,Garage/Cafeteria,site retake and defuser disable,Chaos,Lobby/Piano,elimination ,,,,,,,,,,,,,,,,,,,Chaos,Reading/Dining,elimination,,,,Rogue,Reading/Dining,elimination,Rogue,Bar/Cocktail,elimination,Rogue,Service/Cooking,elimination,Rogue,CEO/Meeting,elimination,Rogue,Garage/Cafeteria,elimination,,,,,,,,,,Rogue,Lobby/Piano,elimination,,,,Chaos,Reading/Dining,elimination,Rogue,Garage/Cafeteria,elimination,Rogue,Garage/Cafeteria,elimination,Chaos,Bar/Cocktail,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rogue,Bar/Cocktail,elimination,Rogue,Service/Cooking,elimination,Rogue,Garage/Cafeteria,site retake and defuser disable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1779,Jul 7 2019,FaZe Clan,Looking for Org.,Coastline,Club House,,Consulate,Border,Bank,Villa,Kafe,,Looking for Org.,Bar/Cocktail,elimination,Looking for Org.,Bar/Cocktail,elimination,FaZe Clan,Reading/Dining,elimination,Looking for Org.,Service/Cooking,elimination,FaZe Clan,Service/Cooking,elimination,Looking for Org.,Reading/Dining,elimination,Looking for Org.,Service/Cooking,elimination,Looking for Org.,CEO/Meeting,elimination,Looking for Org.,Lobby/Piano,elimination,Looking for Org.,Garage/Cafeteria,elimination,Looking for Org.,CEO/Meeting,elimination,Looking for Org.,Lobby/Piano,elimination,FaZe Clan,Garage/Cafeteria,bomb defuse,Looking for Org.,CEO/Meeting,elimination,Looking for Org.,Garage/Cafeteria,elimination,,,,,,,,,,,,,,,,,,,Looking for Org.,Bar/Cocktail,elimination,,,,Looking for Org.,Reading/Dining,round timer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1780,Jul 7 2019,Looking for Org.,Rogue,Border,Villa,,Kafe,Consulate,Club House,,Bank,Coastline,Rogue,Lockers/CCTV,elimination,Rogue,Lockers/CCTV,elimination,Looking for Org.,Lockers/CCTV,round timer,Rogue,Tellers/Archives,elimination,Rogue,Tellers/Archives,elimination,Looking for Org.,CEO/Lounge,elimination,Looking for Org.,Lockers/CCTV,elimination,Looking for Org.,Bar/Cocktail,elimination,Rogue,Bar/Cocktail,elimination,Rogue,Service/Cooking,elimination,Rogue,Reading/Dining,elimination,Rogue,Bar/Cocktail,elimination,Looking for Org.,Service/Cooking,elimination,Rogue,Service/Cooking,elimination,Looking for Org.,Bar/Cocktail,elimination,,,,,,,,,,,,,,,,,,,Rogue,Lockers/CCTV,round timer,,,,Rogue,CEO/Lounge,elimination,Looking for Org.,Tellers/Archives,elimination,Rogue,Lockers/CCTV,elimination,Looking for Org.,Service/Cooking,round timer,Looking for Org.,Reading/Dining,elimination,,,,,,,,,,Rogue,Bar/Cocktail,elimination,,,,,,,Looking for Org.,Service/Cooking,round timer,Rogue,Service/Cooking,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Looking for Org.,Bar/Cocktail,elimination,Rogue,Service/Cooking,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1781,Jul 13 2019,Oddity Esports,Team SiNister,,,,,,,,,Coastline,Team SiNister,Aviator/Game Room,elimination,Oddity Esports,Aviator/Game Room,elimination,Team SiNister,Trophy/Statue,elimination,Team SiNister,Trophy/Statue,elimination,Team SiNister,Aviator/Game Room,elimination,Oddity Esports,Kitchen/Dining,elimination,Team SiNister,Aviator/Game Room,elimination,Oddity Esports,CEO/Lounge,elimination,Team SiNister,Lockers/CCTV,elimination,Oddity Esports,CEO/Lounge,elimination,Team SiNister,Tellers/Archives,elimination,Team SiNister,Lockers/CCTV,elimination,Oddity Esports,CEO/Lounge,elimination,Oddity Esports,Lockers/CCTV,elimination,Oddity Esports,CEO/Lounge,round timer,,,,,,,,,,,,,,,,,,,Team SiNister,Kitchen/Dining,elimination,,,,Oddity Esports,Trophy/Statue,elimination,Team SiNister,Aviator/Game Room,elimination,,,,Team SiNister,Tellers/Archives,elimination,Team SiNister,Lockers/CCTV,elimination,,,,,,,,,,Team SiNister,Lockers/CCTV,elimination,,,,,,,Team SiNister,CEO/Lounge,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,Jul 13 2019,0RGL3SS,ACME Association,,,,Coastline,,,,Villa,Club House,0RGL3SS,Aviator/Game Room,elimination,ACME Association,Trophy/Statue,elimination,0RGL3SS,Trophy/Statue,elimination,ACME Association,Kitchen/Dining,elimination,0RGL3SS,Aviator/Game Room,elimination,ACME Association,Trophy/Statue,elimination,0RGL3SS,Trophy/Statue,elimination,0RGL3SS,Blue/Sunrise,elimination,0RGL3SS,Hookah/Billiards,elimination,0RGL3SS,Hookah/Billiards,elimination,0RGL3SS,Blue/Sunrise,elimination,0RGL3SS,Kitchen/Service,elimination,0RGL3SS,Blue/Sunrise,elimination,0RGL3SS,Hookah/Billiards,elimination,,,,,,,,,,,,,,,,,,,,,,0RGL3SS,Trophy/Statue,elimination,,,,0RGL3SS,Aviator/Game Room,elimination,ACME Association,Aviator/Game Room,elimination,0RGL3SS,Trophy/Statue,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,Jul 13 2019,Zealous,Power Plays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1784,Jul 27 2019,Team SiNister,ACME Association,,,,,,,,,,Team SiNister,Master/Gym,elimination,Team SiNister,Cash/CCTV,elimination,Team SiNister,Church/Arsenal,elimination,ACME Association,Master/Gym,elimination,ACME Association,Cash/CCTV,bomb defuse,ACME Association,Church/Arsenal,elimination,Team SiNister,Church/Arsenal,elimination,ACME Association,Hookah/Billiards,elimination,Team SiNister,Blue/Sunrise,elimination,Team SiNister,Kitchen/Service,elimination,ACME Association,Hookah/Billiards,site retake and defuser disable,ACME Association,Blue/Sunrise,elimination,ACME Association,Kitchen/Service,elimination,ACME Association,Hookah/Billiards,elimination,ACME Association,Blue/Sunrise,elimination,,,,,,,,,,,,,,,,,,,ACME Association,Cash/CCTV,elimination,,,,ACME Association,Master/Gym,site retake and defuser disable,Team SiNister,Church/Arsenal,elimination,Team SiNister,Cash/CCTV,elimination,ACME Association,Penthouse/Theater,elimination,,,,,,,,,,,,,,,,,,,ACME Association,Church/Arsenal,round timer,,,,,,,Team SiNister,Master/Gym,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACME Association,Church/Arsenal,elimination,ACME Association,Church/Arsenal,elimination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1786,Jul 27 2019,0RGL3SS,Power Plays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,Jul 14 2019,Fury,Extricity,,,,,,,,,Border,Fury,Open Area/Kitchen,site retake and defuser disable,Fury,CEO/Lounge,round timer,Fury,Tellers/Archives,elimination,Fury,Open Area/Kitchen,elimination,Fury,CEO/Lounge,elimination ,Extricity,Tellers/Archives,elimination,Fury,Lockers/CCTV,elimination,Fury,Kitchen/Service,elimination,Fury,Blue/Sunrise,elimination,Extricity,Hookah/Billiards,elimination,Extricity,Kitchen/Service,elimination,Fury,Kitchen/Service,elimination,Fury,Penthouse/Theater,elimination,Fury,Kitchen/Service,elimination,Fury,Blue/Sunrise,elimination,,,,,,,,,,,,,,,,,,,Extricity,Lockers/CCTV,elimination,,,,Fury,Tellers/Archives,elimination,,,,,,,Fury,Kitchen/Service,elimination ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
